Brand Number,Brand Name,Stock Market
2892,日食品,東証２部
2894,石井食,東証２部
2897,日清食ＨＤ,東証１部
2899,永谷園ＨＤ,東証１部
2901,石垣食品,ＪＡＳＤＡＱ
2902,太陽化,名証
2903,シノブフーズ,東証２部
2904,一正蒲鉾,東証１部
2905,オーケー食,ＪＡＳＤＡＱ
2907,あじかん,東証２部
2908,フジッコ,東証１部
2910,ロックフィル,東証１部
2911,旭松食品,東証２部
2914,ＪＴ,東証１部
2915,ケンコーマヨ,東証１部
2916,仙波糖化,ＪＡＳＤＡＱ
2917,大森屋,ＪＡＳＤＡＱ
2918,わらべや日洋,東証１部
2919,マルタイ,福証
2922,なとり,東証１部
2923,サトウ食品,東証２部
2924,イフジ産業,東証１部
2925,ピックルス,東証１部
2926,篠崎屋,東証２部
2927,ＡＦＣＨＤ,ＪＡＳＤＡＱ
2928,ＲＩＺＡＰ,札証
2929,ファーマＦ,東証２部
2930,北の達人,東証１部
2931,ユーグレナ,東証１部
2932,ＳＴＩフード,東証２部
2971,エスコンＪＰ,東証２部
2972,サンケイＲＥ,東証２部
2974,大英産業,福証
2975,スターマイカ,東証１部
2976,Ｎグランデ,札証
2978,ツクルバ,マザーズ
2979,ＳＯＳｉＬＡ,東証２部
2980,ＳＲＥＨＤ,東証１部
2981,ランディクス,マザーズ
2982,ＡＤワークＧ,東証１部
2986,ＬＡＨＤ,ＪＡＳＤＡＱ
2987,タスキ,マザーズ
3001,片倉,東証１部
3002,グンゼ,東証１部
3003,ヒューリック,東証１部
3004,神栄,東証１部
3010,価値開発,東証２部
3011,バナーズ,東証２部
3020,アプライド,ＪＡＳＤＡＱ
3021,ＰＣＮＥＴ,東証２部
